braker_gene	braker_transcript	SSTP_gene	SSTP_transcript
g10133	g10133.t1	SSTP_0000443050	SSTP_0000443050.1
g10134	g10134.t1	SSTP_0000443100	SSTP_0000443100.1
g10135	g10135.t1	SSTP_0000443200	SSTP_0000443200.1
g10136	g10136.t1	SSTP_0000443200	SSTP_0000443200.1
g10137	g10137.t1	SSTP_0000443300	SSTP_0000443300.1
g10138	g10138.t1	SSTP_0000443600	SSTP_0000443600.1
g10139	g10139.t1	SSTP_0000443700	SSTP_0000443700.1
g1014	g1014.t1	SSTP_0000317500	SSTP_0000317500.1
g1014	g1014.t2	SSTP_0000317500	SSTP_0000317500.1
g10140	g10140.t1	SSTP_0000443900	SSTP_0000443900.1
g10141	g10141.t1	SSTP_0000443800	SSTP_0000443800.1
g10142	g10142.t1	SSTP_0000443900	SSTP_0000443900.1
g10143	g10143.t1	SSTP_0000443950	SSTP_0000443950.1
g10144	g10144.t1	SSTP_0000444000	SSTP_0000444000.1
g10145	g10145.t1	SSTP_0000444200	SSTP_0000444200.1
g10146	g10146.t1	SSTP_0000444300	SSTP_0000444300.1
g10146	g10146.t2	SSTP_0000444300	SSTP_0000444300.1
g10147	g10147.t1	SSTP_0000521100	SSTP_0000521100.1
g10147	g10147.t2	SSTP_0000259600	SSTP_0000259600.1
g10148	g10148.t1	SSTP_0000444400	SSTP_0000444400.1
g10149	g10149.t1	SSTP_0001127300	SSTP_0001127300.1
g1015	g1015.t1	SSTP_0000967800	SSTP_0000967800.1
g10150	g10150.t1	SSTP_0000829300	SSTP_0000829300.1
g10151	g10151.t1	SSTP_0000829200	SSTP_0000829200.1
g10152	g10152.t1	SSTP_0001227200	SSTP_0001227200.1
g10153	g10153.t1	SSTP_0000828900	SSTP_0000828900.1
g10154	g10154.t1	SSTP_0000828800	SSTP_0000828800.1
g10155	g10155.t1	SSTP_0000828700	SSTP_0000828700.1
g10156	g10156.t1	SSTP_0000828600	SSTP_0000828600.1
g10157	g10157.t1	SSTP_0000828500	SSTP_0000828500.1
g10158	g10158.t1	SSTP_0000828400	SSTP_0000828400.1
g10159	g10159.t1	SSTP_0000828300	SSTP_0000828300.1
g1016	g1016.t1	SSTP_0000317600	SSTP_0000317600.1
g10160	g10160.t1	SSTP_0000828100	SSTP_0000828100.1
g10161	g10161.t1	SSTP_0001076400	SSTP_0001076400.1
g10162	g10162.t1	SSTP_0001076500	SSTP_0001076500.1
g10163	g10163.t1	SSTP_0001076600	SSTP_0001076600.1
g10163	g10163.t2	SSTP_0001076600	SSTP_0001076600.1
g10164	g10164.t1	SSTP_0000638100	SSTP_0000638100.1
g10165	g10165.t1	SSTP_0001144400	SSTP_0001144400.1
g10166	g10166.t1	SSTP_0001144100	SSTP_0001144100.1
g10166	g10166.t2	SSTP_0001144100	SSTP_0001144100.1
g10166	g10166.t3	SSTP_0001144100	SSTP_0001144100.1
g10167	g10167.t1	SSTP_0001144300	SSTP_0001144300.1
g10168	g10168.t1	SSTP_0001144000	SSTP_0001144000.1
g10169	g10169.t1	SSTP_0001143900	SSTP_0001143900.1
g1017	g1017.t1	SSTP_0000317700	SSTP_0000317700.1
g10170	g10170.t1	SSTP_0001143800	SSTP_0001143800.1
g10171	g10171.t1	SSTP_0001143700	SSTP_0001143700.1
g10172	g10172.t1	SSTP_0000535700	SSTP_0000535700.1
g10173	g10173.t1	SSTP_0000535600	SSTP_0000535600.1
g10173	g10173.t2	SSTP_0000535600	SSTP_0000535600.1
g10174	g10174.t1	SSTP_0000535500	SSTP_0000535500.1
g10175	g10175.t1	SSTP_0000535400	SSTP_0000535400.1
g10176	g10176.t1	SSTP_0000535300	SSTP_0000535300.1
g10177	g10177.t1	SSTP_0000535200	SSTP_0000535200.1
g10178	g10178.t1	SSTP_0000535100	SSTP_0000535100.1
g10179	g10179.t1	SSTP_0000535000	SSTP_0000535000.1
g10179	g10179.t2	SSTP_0000534900	SSTP_0000534900.1
g1018	g1018.t1	SSTP_0000317800	SSTP_0000317800.1
g10180	g10180.t1	SSTP_0000534900	SSTP_0000534900.1
g10181	g10181.t1	SSTP_0000534800	SSTP_0000534800.1
g10182	g10182.t1	SSTP_0000534700	SSTP_0000534700.1
g10183	g10183.t1	SSTP_0000534600	SSTP_0000534600.1
g10183	g10183.t2	SSTP_0000534600	SSTP_0000534600.1
g10184	g10184.t1	SSTP_0000534600	SSTP_0000534600.1
g10185	g10185.t1	SSTP_0000534500	SSTP_0000534500.1
g10185	g10185.t2	SSTP_0000534500	SSTP_0000534500.1
g10186	g10186.t1	SSTP_0000534400	SSTP_0000534400.1
g10187	g10187.t1	SSTP_0000534300	SSTP_0000534300.1
g10188	g10188.t1	SSTP_0000534200	SSTP_0000534200.1
g10189	g10189.t1	SSTP_0000534100	SSTP_0000534100.1
g1019	g1019.t1	SSTP_0000317900	SSTP_0000317900.1
g10190	g10190.t1	SSTP_0000534000	SSTP_0000534000.1
g10191	g10191.t1	SSTP_0000533900	SSTP_0000533900.1
g10192	g10192.t1	SSTP_0000533800	SSTP_0000533800.1
g10193	g10193.t1	SSTP_0000533700	SSTP_0000533700.1
g10194	g10194.t1	SSTP_0000533600	SSTP_0000533600.1
g10195	g10195.t1	SSTP_0000533500	SSTP_0000533500.1
g10196	g10196.t1	SSTP_0000533400	SSTP_0000533400.1
g10197	g10197.t1	SSTP_0000533300	SSTP_0000533300.1
g10198	g10198.t1	SSTP_0000533200	SSTP_0000533200.1
g10199	g10199.t1	SSTP_0000533100	SSTP_0000533100.1
g102	g102.t1	SSTP_0000524400	SSTP_0000524400.1
g1020	g1020.t1	SSTP_0000318000	SSTP_0000318000.1
g10200	g10200.t1	SSTP_0000533000	SSTP_0000533000.1
g10200	g10200.t2	SSTP_0000533000	SSTP_0000533000.1
g10201	g10201.t1	SSTP_0000532900	SSTP_0000532900.1
g10202	g10202.t1	SSTP_0000532800	SSTP_0000532800.1
g10203	g10203.t1	SSTP_0000532700	SSTP_0000532700.1
g10204	g10204.t1	SSTP_0000532600	SSTP_0000532600.1
g10204	g10204.t2	SSTP_0000532600	SSTP_0000532600.1
g10205	g10205.t1	SSTP_0000532500	SSTP_0000532500.1
g10206	g10206.t1	SSTP_0000532400	SSTP_0000532400.1
g10207	g10207.t1	SSTP_0000532300	SSTP_0000532300.1
g10207	g10207.t2	SSTP_0000532300	SSTP_0000532300.1
g10207	g10207.t3	SSTP_0000532300	SSTP_0000532300.1
g10208	g10208.t1	SSTP_0000532200	SSTP_0000532200.1
g10209	g10209.t1	SSTP_0000532100	SSTP_0000532100.1
g1021	g1021.t1	SSTP_0000318100	SSTP_0000318100.1
g10210	g10210.t1	SSTP_0000532000	SSTP_0000532000.1
g10211	g10211.t1	SSTP_0000531900	SSTP_0000531900.1
g10212	g10212.t1	SSTP_0000531800	SSTP_0000531800.1
g10213	g10213.t1	SSTP_0000531700	SSTP_0000531700.1
g10214	g10214.t1	SSTP_0000531600	SSTP_0000531600.1
g10215	g10215.t1	SSTP_0000531500	SSTP_0000531500.1
g10216	g10216.t1	SSTP_0000531400	SSTP_0000531400.1
g10217	g10217.t1	SSTP_0000531300	SSTP_0000531300.1
g10218	g10218.t1	SSTP_0000531200	SSTP_0000531200.1
g10219	g10219.t1	SSTP_0000531100	SSTP_0000531100.1
g1022	g1022.t1	SSTP_0000318200	SSTP_0000318200.1
g10220	g10220.t1	SSTP_0000531000	SSTP_0000531000.1
g10221	g10221.t1	SSTP_0000530900	SSTP_0000530900.1
g10222	g10222.t1	SSTP_0000530800	SSTP_0000530800.1
g10223	g10223.t1	SSTP_0000539000	SSTP_0000539000.1
g10224	g10224.t1	SSTP_0000872900	SSTP_0000872900.1
g10225	g10225.t1	SSTP_0000244600	SSTP_0000244600.1
g10226	g10226.t1	SSTP_0000985000	SSTP_0000985000.1
g10227	g10227.t1	SSTP_0000708400	SSTP_0000708400.1
g10227	g10227.t2	SSTP_0000708400	SSTP_0000708400.1
g10228	g10228.t1	SSTP_0000000600	SSTP_0000000600.1
g10229	g10229.t1	SSTP_0000443950	SSTP_0000443950.1
g1023	g1023.t1	SSTP_0000318300	SSTP_0000318300.1
g10230	g10230.t1	SSTP_0001099800	SSTP_0001099800.1
g10231	g10231.t1	SSTP_0000443800	SSTP_0000443800.1
g10232	g10232.t1	SSTP_0000443900	SSTP_0000443900.1
g10233	g10233.t1	SSTP_0000031800	SSTP_0000031800.1
g10234	g10234.t1	SSTP_0000032000	SSTP_0000032000.1
g10235	g10235.t1	SSTP_0000032100	SSTP_0000032100.1
g10235	g10235.t2	SSTP_0000032100	SSTP_0000032100.1
g10236	g10236.t1	SSTP_0000032200	SSTP_0000032200.1
g10237	g10237.t1	SSTP_0000032300	SSTP_0000032300.1
g10238	g10238.t1	SSTP_0000520800	SSTP_0000520800.1
g10239	g10239.t1	SSTP_0000520900	SSTP_0000520900.1
g10239	g10239.t2	SSTP_0000520900	SSTP_0000520900.1
g10239	g10239.t3	SSTP_0000520900	SSTP_0000520900.1
g1024	g1024.t1	SSTP_0000318400	SSTP_0000318400.1
g10240	g10240.t1	SSTP_0000521000	SSTP_0000521000.1
g10241	g10241.t1	SSTP_0001130600	SSTP_0001130600.1
g10242	g10242.t1	SSTP_0001130500	SSTP_0001130500.1
g10243	g10243.t1	SSTP_0001130400	SSTP_0001130400.1
g10244	g10244.t1	SSTP_0001130300	SSTP_0001130300.1
g10245	g10245.t1		
g10246	g10246.t1	SSTP_0001130200	SSTP_0001130200.1
g10247	g10247.t1	SSTP_0001130100	SSTP_0001130100.1
g10247	g10247.t2	SSTP_0001130100	SSTP_0001130100.1
g10248	g10248.t1	SSTP_0001130000	SSTP_0001130000.1
g10249	g10249.t1	SSTP_0001129950	SSTP_0001129950.1
g1025	g1025.t1	SSTP_0000318500	SSTP_0000318500.1
g10250	g10250.t1	SSTP_0001129900	SSTP_0001129900.1
g10250	g10250.t2	SSTP_0001129550	SSTP_0001129550.1
g10251	g10251.t1	SSTP_0001129800	SSTP_0001129800.1
g10252	g10252.t1	SSTP_0001129750	SSTP_0001129750.1
g10253	g10253.t1	SSTP_0001129700	SSTP_0001129700.1
g10254	g10254.t1	SSTP_0001129600	SSTP_0001129600.1
g10255	g10255.t1	SSTP_0001129900	SSTP_0001129900.1
g10255	g10255.t2	SSTP_0001129550	SSTP_0001129550.1
g10256	g10256.t1	SSTP_0001129500	SSTP_0001129500.1
g10257	g10257.t1	SSTP_0001129400	SSTP_0001129400.1
g10258	g10258.t1	SSTP_0001129300	SSTP_0001129300.1
g10259	g10259.t1	SSTP_0001129200	SSTP_0001129200.1
g10259	g10259.t2	SSTP_0001129200	SSTP_0001129200.1
g1026	g1026.t1	SSTP_0000318600	SSTP_0000318600.1
g10260	g10260.t1	SSTP_0001129100	SSTP_0001129100.1
g10261	g10261.t1	SSTP_0001129000	SSTP_0001129000.1
g10262	g10262.t1	SSTP_0001129200	SSTP_0001129200.1
g10263	g10263.t1	SSTP_0001127400	SSTP_0001127400.1
g10264	g10264.t1	SSTP_0001127300	SSTP_0001127300.1
g10265	g10265.t1	SSTP_0001127200	SSTP_0001127200.1
g10266	g10266.t1	SSTP_0001127100	SSTP_0001127100.1
g10267	g10267.t1	SSTP_0001127000	SSTP_0001127000.1
g10268	g10268.t1	SSTP_0001127000	SSTP_0001127000.1
g10269	g10269.t1	SSTP_0001126900	SSTP_0001126900.1
g1027	g1027.t1	SSTP_0000318700	SSTP_0000318700.1
g10270	g10270.t1	SSTP_0001287100	SSTP_0001287100.1
g10271	g10271.t1	SSTP_0001126710	SSTP_0001126710.1
g10272	g10272.t1	SSTP_0001126700	SSTP_0001126700.1
g10273	g10273.t1	SSTP_0001126600	SSTP_0001126600.1
g10274	g10274.t1	SSTP_0001126200	SSTP_0001126200.1
g10275	g10275.t1	SSTP_0001126000	SSTP_0001126000.1
g10276	g10276.t1	SSTP_0001125900	SSTP_0001125900.1
g10277	g10277.t1	SSTP_0001125800	SSTP_0001125800.1
g10278	g10278.t1	SSTP_0001125700	SSTP_0001125700.1
g1028	g1028.t1	SSTP_0000318800	SSTP_0000318800.1
g10280	g10280.t1	SSTP_0001125500	SSTP_0001125500.1
g10281	g10281.t1	SSTP_0001125400	SSTP_0001125400.1
g10282	g10282.t1	SSTP_0001125300	SSTP_0001125300.1
g10283	g10283.t1	SSTP_0001125200	SSTP_0001125200.1
g10284	g10284.t1	SSTP_0001125100	SSTP_0001125100.1
g10285	g10285.t1	SSTP_0001125000	SSTP_0001125000.1
g10286	g10286.t1	SSTP_0001124900	SSTP_0001124900.1
g10287	g10287.t1	SSTP_0001124800	SSTP_0001124800.1
g10287	g10287.t2	SSTP_0001124800	SSTP_0001124800.1
g10288	g10288.t1	SSTP_0001124700	SSTP_0001124700.1
g10289	g10289.t1	SSTP_0001124600	SSTP_0001124600.1
g1029	g1029.t1	SSTP_0000318900	SSTP_0000318900.1
g10290	g10290.t1	SSTP_0001124500	SSTP_0001124500.1
g10290	g10290.t2	SSTP_0001124500	SSTP_0001124500.1
g10290	g10290.t3	SSTP_0001124500	SSTP_0001124500.1
g10290	g10290.t4	SSTP_0001124500	SSTP_0001124500.1
g10291	g10291.t1	SSTP_0001124400	SSTP_0001124400.1
g10292	g10292.t1	SSTP_0001124300	SSTP_0001124300.1
g10293	g10293.t1	SSTP_0001124200	SSTP_0001124200.1
g10294	g10294.t1	SSTP_0001124200	SSTP_0001124200.1
g10295	g10295.t1	SSTP_0001124100	SSTP_0001124100.1
g10296	g10296.t1	SSTP_0001124000	SSTP_0001124000.1
g10297	g10297.t1	SSTP_0001123900	SSTP_0001123900.1
g10297	g10297.t2	SSTP_0001123900	SSTP_0001123900.1
g10298	g10298.t1	SSTP_0001123600	SSTP_0001123600.1
g10299	g10299.t1	SSTP_0001123500	SSTP_0001123500.1
g103	g103.t1	SSTP_0000524500	SSTP_0000524500.1
g1030	g1030.t1	SSTP_0000319000	SSTP_0000319000.1
g10300	g10300.t1	SSTP_0001123400	SSTP_0001123400.1
g10301	g10301.t1	SSTP_0001123300	SSTP_0001123300.1
g10302	g10302.t1	SSTP_0001123200	SSTP_0001123200.1
g10303	g10303.t1	SSTP_0001123100	SSTP_0001123100.1
g10304	g10304.t1	SSTP_0001123000	SSTP_0001123000.1
g10305	g10305.t1	SSTP_0001122900	SSTP_0001122900.1
g10306	g10306.t1	SSTP_0001122800	SSTP_0001122800.1
g10306	g10306.t2	SSTP_0001122800	SSTP_0001122800.1
g10307	g10307.t1	SSTP_0001122700	SSTP_0001122700.1
g10308	g10308.t1	SSTP_0001122600	SSTP_0001122600.1
g10309	g10309.t1	SSTP_0001122500	SSTP_0001122500.1
g1031	g1031.t1	SSTP_0000319100	SSTP_0000319100.1
g10310	g10310.t1	SSTP_0001122400	SSTP_0001122400.1
g10311	g10311.t1	SSTP_0001122300	SSTP_0001122300.1
g10312	g10312.t1	SSTP_0001122200	SSTP_0001122200.1
g10313	g10313.t1	SSTP_0001122100	SSTP_0001122100.1
g10314	g10314.t1	SSTP_0001122000	SSTP_0001122000.1
g10315	g10315.t1	SSTP_0001121900	SSTP_0001121900.1
g10316	g10316.t1	SSTP_0001121800	SSTP_0001121800.1
g10317	g10317.t1	SSTP_0001121700	SSTP_0001121700.1
g10318	g10318.t1	SSTP_0001121600	SSTP_0001121600.1
g10319	g10319.t1	SSTP_0001121500	SSTP_0001121500.1
g1032	g1032.t1	SSTP_0000319200	SSTP_0000319200.1
g10320	g10320.t1	SSTP_0001121400	SSTP_0001121400.1
g10321	g10321.t1	SSTP_0001121300	SSTP_0001121300.1
g10322	g10322.t1	SSTP_0001121200	SSTP_0001121200.1
g10323	g10323.t1	SSTP_0001121100	SSTP_0001121100.1
g10324	g10324.t1	SSTP_0001121000	SSTP_0001121000.1
g10324	g10324.t2	SSTP_0001121000	SSTP_0001121000.1
g10324	g10324.t3	SSTP_0001121000	SSTP_0001121000.1
g10325	g10325.t1	SSTP_0001120900	SSTP_0001120900.1
g10326	g10326.t1	SSTP_0001120700	SSTP_0001120700.1
g10327	g10327.t1	SSTP_0001120600	SSTP_0001120600.1
g10327	g10327.t2	SSTP_0001120600	SSTP_0001120600.1
g10327	g10327.t3	SSTP_0001120600	SSTP_0001120600.1
g10328	g10328.t1	SSTP_0001120500	SSTP_0001120500.1
g10329	g10329.t1	SSTP_0001120400	SSTP_0001120400.1
g1033	g1033.t1	SSTP_0000319300	SSTP_0000319300.1
g10330	g10330.t1	SSTP_0001120300	SSTP_0001120300.1
g10331	g10331.t1	SSTP_0001120200	SSTP_0001120200.1
g10332	g10332.t1	SSTP_0001120100	SSTP_0001120100.1
g10333	g10333.t1	SSTP_0001120000	SSTP_0001120000.1
g10334	g10334.t1	SSTP_0001119900	SSTP_0001119900.1
g10335	g10335.t1	SSTP_0001119800	SSTP_0001119800.1
g10336	g10336.t1	SSTP_0001119700	SSTP_0001119700.1
