Sster_gene	Sster_mRNA	Sster_transcript	SSTP_gene	SSTP_transcript
XLOC_000010	TCONS_00000012	TCONS_00000012.p1	SSTP_0001045800	SSTP_0001045800.1
XLOC_000011	TCONS_00000013	TCONS_00000013.p1	SSTP_0001045900	SSTP_0001045900.1
XLOC_000012	TCONS_00000014	TCONS_00000014.p1	SSTP_0001046000	SSTP_0001046000.1
XLOC_000013	TCONS_00000015	TCONS_00000015.p1	SSTP_0001046100	SSTP_0001046100.1
XLOC_000014	TCONS_00000016	TCONS_00000016.p1	SSTP_0001046200	SSTP_0001046200.1
XLOC_000014	TCONS_00003620	TCONS_00003620.p1	SSTP_0001046200	SSTP_0001046200.1
XLOC_000015	TCONS_00000017	TCONS_00000017.p1	SSTP_0001046500	SSTP_0001046500.1
XLOC_000016	TCONS_00000018	TCONS_00000018.p1	SSTP_0001046800	SSTP_0001046800.1
XLOC_000017	TCONS_00000019	TCONS_00000019.p1	SSTP_0001046900	SSTP_0001046900.1
XLOC_000018	TCONS_00000020	TCONS_00000020.p1	SSTP_0001047000	SSTP_0001047000.1
XLOC_000019	TCONS_00000021	TCONS_00000021.p1	SSTP_0001047200	SSTP_0001047200.1
XLOC_000020	TCONS_00000022	TCONS_00000022.p1	SSTP_0001047300	SSTP_0001047300.1
XLOC_000021	TCONS_00000023	TCONS_00000023.p1	SSTP_0001047500	SSTP_0001047500.1
XLOC_000021	TCONS_00000024	TCONS_00000024.p1	SSTP_0001047600	SSTP_0001047600.1
XLOC_000021	TCONS_00003621	TCONS_00003621.p1	SSTP_0001047500	SSTP_0001047500.1
XLOC_000022	TCONS_00000025	TCONS_00000025.p1	SSTP_0001047700	SSTP_0001047700.1
XLOC_000023	TCONS_00000026	TCONS_00000026.p1	SSTP_0001047800	SSTP_0001047800.1
XLOC_000024	TCONS_00000027	TCONS_00000027.p1	SSTP_0001047900	SSTP_0001047900.1
XLOC_000024	TCONS_00003622	TCONS_00003622.p1	SSTP_0001047900	SSTP_0001047900.1
XLOC_000025	TCONS_00003623	TCONS_00003623.p1	SSTP_0001048100	SSTP_0001048100.1
XLOC_000026	TCONS_00000028	TCONS_00000028.p1	SSTP_0001048200	SSTP_0001048200.1
XLOC_000027	TCONS_00000029	TCONS_00000029.p1	SSTP_0001048300	SSTP_0001048300.1
XLOC_000028	TCONS_00000030	TCONS_00000030.p1	SSTP_0001048400	SSTP_0001048400.1
XLOC_000028	TCONS_00000031	TCONS_00000031.p1	SSTP_0001048500	SSTP_0001048500.1
XLOC_000028	TCONS_00003624	TCONS_00003624.p1	SSTP_0001048400	SSTP_0001048400.1
XLOC_000029	TCONS_00000032	TCONS_00000032.p1	SSTP_0001048900	SSTP_0001048900.1
XLOC_000030	TCONS_00000033	TCONS_00000033.p1	SSTP_0001049200	SSTP_0001049200.1
XLOC_000031	TCONS_00000034	TCONS_00000034.p1	SSTP_0001049300	SSTP_0001049300.1
XLOC_000032	TCONS_00000035	TCONS_00000035.p1	SSTP_0001049600	SSTP_0001049600.1
XLOC_000032	TCONS_00000036	TCONS_00000036.p1	SSTP_0001049700	SSTP_0001049700.1
XLOC_000032	TCONS_00003625	TCONS_00003625.p1	SSTP_0001049700	SSTP_0001049700.1
XLOC_000035	TCONS_00000039	TCONS_00000039.p1	SSTP_0001049900	SSTP_0001049900.1
XLOC_000036	TCONS_00000040	TCONS_00000040.p1	SSTP_0001050200	SSTP_0001050200.1
XLOC_000037	TCONS_00003626	TCONS_00003626.p1	SSTP_0000539400	SSTP_0000539400.1
XLOC_000041	TCONS_00000041	TCONS_00000041.p1	SSTP_0001100000	SSTP_0001100000.1
XLOC_000041	TCONS_00000042	TCONS_00000042.p1	SSTP_0001100100	SSTP_0001100100.1
XLOC_000041	TCONS_00003630	TCONS_00003630.p1	SSTP_0001100000	SSTP_0001100000.1
XLOC_000042	TCONS_00000043	TCONS_00000043.p1	SSTP_0001100200	SSTP_0001100200.1
XLOC_000043	TCONS_00000044	TCONS_00000044.p1	SSTP_0001100300	SSTP_0001100300.1
XLOC_000044	TCONS_00000045	TCONS_00000045.p1	SSTP_0001100500	SSTP_0001100500.1
XLOC_000044	TCONS_00000046	TCONS_00000046.p1	SSTP_0001100600	SSTP_0001100600.1
XLOC_000044	TCONS_00003631	TCONS_00003631.p1	SSTP_0001100600	SSTP_0001100600.1
XLOC_000045	TCONS_00003632	TCONS_00003632.p1	SSTP_0001100900	SSTP_0001100900.1
XLOC_000046	TCONS_00000047	TCONS_00000047.p1	SSTP_0001101100	SSTP_0001101100.1
XLOC_000046	TCONS_00003633	TCONS_00003633.p1	SSTP_0001101100	SSTP_0001101100.1
XLOC_000047	TCONS_00000048	TCONS_00000048.p1	SSTP_0001101300	SSTP_0001101300.1
XLOC_000048	TCONS_00000049	TCONS_00000049.p1	SSTP_0001101400	SSTP_0001101400.1
XLOC_000049	TCONS_00000050	TCONS_00000050.p1	SSTP_0001101500	SSTP_0001101500.1
XLOC_000049	TCONS_00000051	TCONS_00000051.p1	SSTP_0001101600	SSTP_0001101600.1
XLOC_000049	TCONS_00003634	TCONS_00003634.p1	SSTP_0001101500	SSTP_0001101500.1
XLOC_000050	TCONS_00000052	TCONS_00000052.p1	SSTP_0001101800	SSTP_0001101800.1
XLOC_000051	TCONS_00000053	TCONS_00000053.p1	SSTP_0001102000	SSTP_0001102000.1
XLOC_000054	TCONS_00003638	TCONS_00003638.p1	SSTP_0001213750	SSTP_0001213750.1
XLOC_000057	TCONS_00000054	TCONS_00000054.p1	SSTP_0000524500	SSTP_0000524500.1
XLOC_000057	TCONS_00003641	TCONS_00003641.p1	SSTP_0000524500	SSTP_0000524500.1
XLOC_000058	TCONS_00000055	TCONS_00000055.p1	SSTP_0000524700	SSTP_0000524700.1
XLOC_000058	TCONS_00000056	TCONS_00000056.p1	SSTP_0000524800	SSTP_0000524800.1
XLOC_000058	TCONS_00003642	TCONS_00003642.p1	SSTP_0000524700	SSTP_0000524700.1
XLOC_000059	TCONS_00000057	TCONS_00000057.p1	SSTP_0000525100	SSTP_0000525100.1
XLOC_000061	TCONS_00000059	TCONS_00000059.p1	SSTP_0000525400	SSTP_0000525400.1
XLOC_000061	TCONS_00003643	TCONS_00003643.p1	SSTP_0000525400	SSTP_0000525400.2
XLOC_000063	TCONS_00000060	TCONS_00000060.p1	SSTP_0000525600	SSTP_0000525600.1
XLOC_000064	TCONS_00000061	TCONS_00000061.p1	SSTP_0000525800	SSTP_0000525800.1
XLOC_000065	TCONS_00000062	TCONS_00000062.p1	SSTP_0000525900	SSTP_0000525900.1
XLOC_000066	TCONS_00000063	TCONS_00000063.p1	SSTP_0000526100	SSTP_0000526100.1
XLOC_000067	TCONS_00000064	TCONS_00000064.p1	SSTP_0000526500	SSTP_0000526500.1
XLOC_000067	TCONS_00000065	TCONS_00000065.p1	SSTP_0000526600	SSTP_0000526600.1
XLOC_000067	TCONS_00000066	TCONS_00000066.p1	SSTP_0000526800	SSTP_0000526800.1
XLOC_000067	TCONS_00003645	TCONS_00003645.p1	SSTP_0000526500	SSTP_0000526500.1
XLOC_000067	TCONS_00003646	TCONS_00003646.p1	SSTP_0000526800	SSTP_0000526800.1
XLOC_000068	TCONS_00000067	TCONS_00000067.p1	SSTP_0000527000	SSTP_0000527000.1
XLOC_000069	TCONS_00000068	TCONS_00000068.p1	SSTP_0000527500	SSTP_0000527500.1
XLOC_000070	TCONS_00000069	TCONS_00000069.p1	SSTP_0000345100	SSTP_0000345100.1
XLOC_000070	TCONS_00003647	TCONS_00003647.p1	SSTP_0000345100	SSTP_0000345100.1
XLOC_000070	TCONS_00003647	TCONS_00003647.p2	SSTP_0000753800	SSTP_0000753800.1
XLOC_000071	TCONS_00000070	TCONS_00000070.p1	SSTP_0000527900	SSTP_0000527900.1
XLOC_000071	TCONS_00000071	TCONS_00000071.p1	SSTP_0000528000	SSTP_0000528000.1
XLOC_000071	TCONS_00000072	TCONS_00000072.p1	SSTP_0000528100	SSTP_0000528100.1
XLOC_000071	TCONS_00000073	TCONS_00000073.p1	SSTP_0000493100	SSTP_0000493100.1
XLOC_000071	TCONS_00000074	TCONS_00000074.p1	SSTP_0000528400	SSTP_0000528400.1
XLOC_000071	TCONS_00003648	TCONS_00003648.p1	SSTP_0000527900	SSTP_0000527900.1
XLOC_000072	TCONS_00000075	TCONS_00000075.p1	SSTP_0000528600	SSTP_0000528600.1
XLOC_000073	TCONS_00000076	TCONS_00000076.p1	SSTP_0000528800	SSTP_0000528800.1
XLOC_000074	TCONS_00003649	TCONS_00003649.p1	SSTP_0000476900	SSTP_0000476900.1
XLOC_000075	TCONS_00000077	TCONS_00000077.p1	SSTP_0000528900	SSTP_0000528900.1
XLOC_000076	TCONS_00000078	TCONS_00000078.p1	SSTP_0000529100	SSTP_0000529100.1
XLOC_000076	TCONS_00003650	TCONS_00003650.p1	SSTP_0000529100	SSTP_0000529100.1
XLOC_000077	TCONS_00000079	TCONS_00000079.p1	SSTP_0000529300	SSTP_0000529300.1
XLOC_000077	TCONS_00003651	TCONS_00003651.p1	SSTP_0000529300	SSTP_0000529300.1
XLOC_000078	TCONS_00000080	TCONS_00000080.p1	SSTP_0000529900	SSTP_0000529900.1
XLOC_000078	TCONS_00003652	TCONS_00003652.p1	SSTP_0000529900	SSTP_0000529900.1
XLOC_000085	TCONS_00003659	TCONS_00003659.p1	SSTP_0000636000	SSTP_0000636000.1
XLOC_000086	TCONS_00000082	TCONS_00000082.p1	SSTP_0000946100	SSTP_0000946100.1
XLOC_000087	TCONS_00000083	TCONS_00000083.p1	SSTP_0000945900	SSTP_0000945900.1
XLOC_000087	TCONS_00000084	TCONS_00000084.p1	SSTP_0000945800	SSTP_0000945800.1
XLOC_000087	TCONS_00003660	TCONS_00003660.p1	SSTP_0000945800	SSTP_0000945800.1
XLOC_000088	TCONS_00000085	TCONS_00000085.p1	SSTP_0000945400	SSTP_0000945400.1
XLOC_000089	TCONS_00003661	TCONS_00003661.p1	SSTP_0000945366	SSTP_0000945366.1
XLOC_000090	TCONS_00000086	TCONS_00000086.p1	SSTP_0000944800	SSTP_0000944800.1
XLOC_000091	TCONS_00000087	TCONS_00000087.p1	SSTP_0000944600	SSTP_0000944600.1
XLOC_000092	TCONS_00000088	TCONS_00000088.p1	SSTP_0000944500	SSTP_0000944500.1
XLOC_000093	TCONS_00000089	TCONS_00000089.p1	SSTP_0001145000	SSTP_0001145000.1
XLOC_000094	TCONS_00000090	TCONS_00000090.p1	SSTP_0001145400	SSTP_0001145400.1
XLOC_000095	TCONS_00000091	TCONS_00000091.p1	SSTP_0001145500	SSTP_0001145500.1
XLOC_000096	TCONS_00000092	TCONS_00000092.p1	SSTP_0001145600	SSTP_0001145600.1
XLOC_000096	TCONS_00000093	TCONS_00000093.p1	SSTP_0001145700	SSTP_0001145700.1
XLOC_000096	TCONS_00003662	TCONS_00003662.p1	SSTP_0001145700	SSTP_0001145700.1
XLOC_000097	TCONS_00000094	TCONS_00000094.p1	SSTP_0001146000	SSTP_0001146000.1
XLOC_000097	TCONS_00003663	TCONS_00003663.p1	SSTP_0001146000	SSTP_0001146000.1
XLOC_000098	TCONS_00000095	TCONS_00000095.p1	SSTP_0001146200	SSTP_0001146200.1
XLOC_000099	TCONS_00000096	TCONS_00000096.p1	SSTP_0001146700	SSTP_0001146700.1
XLOC_000099	TCONS_00003664	TCONS_00003664.p1	SSTP_0001146700	SSTP_0001146700.1
XLOC_000100	TCONS_00003665	TCONS_00003665.p1	SSTP_0001146800	SSTP_0001146800.1
XLOC_000101	TCONS_00000097	TCONS_00000097.p1	SSTP_0001146900	SSTP_0001146900.1
XLOC_000102	TCONS_00000098	TCONS_00000098.p1	SSTP_0001147100	SSTP_0001147100.1
XLOC_000102	TCONS_00000099	TCONS_00000099.p1	SSTP_0001147200	SSTP_0001147200.1
XLOC_000102	TCONS_00003666	TCONS_00003666.p1	SSTP_0001147100	SSTP_0001147100.1
XLOC_000103	TCONS_00000100	TCONS_00000100.p1	SSTP_0001147400	SSTP_0001147400.1
XLOC_000104	TCONS_00000101	TCONS_00000101.p1	SSTP_0001147500	SSTP_0001147500.1
XLOC_000105	TCONS_00000102	TCONS_00000102.p1	SSTP_0001147600	SSTP_0001147600.1
XLOC_000105	TCONS_00003667	TCONS_00003667.p1	SSTP_0001147600	SSTP_0001147600.1
XLOC_000111	TCONS_00003673	TCONS_00003673.p1	SSTP_0001283400	SSTP_0001283400.1
XLOC_000113	TCONS_00000103	TCONS_00000103.p1	SSTP_0000967400	SSTP_0000967400.1
XLOC_000113	TCONS_00003675	TCONS_00003675.p1	SSTP_0000967400	SSTP_0000967400.1
XLOC_000114	TCONS_00000104	TCONS_00000104.p1	SSTP_0000267400	SSTP_0000267400.1
XLOC_000115	TCONS_00000105	TCONS_00000105.p1	SSTP_0000267600	SSTP_0000267600.1
XLOC_000115	TCONS_00000106	TCONS_00000106.p1	SSTP_0000267700	SSTP_0000267700.1
XLOC_000115	TCONS_00000107	TCONS_00000107.p1	SSTP_0000267700	SSTP_0000267700.1
XLOC_000115	TCONS_00003676	TCONS_00003676.p1	SSTP_0000267700	SSTP_0000267700.1
XLOC_000116	TCONS_00000108	TCONS_00000108.p1	SSTP_0000267800	SSTP_0000267800.1
XLOC_000119	TCONS_00000110	TCONS_00000110.p1	SSTP_0000268400	SSTP_0000268400.1
XLOC_000120	TCONS_00000111	TCONS_00000111.p1	SSTP_0000268500	SSTP_0000268500.1
XLOC_000120	TCONS_00003678	TCONS_00003678.p1	SSTP_0000268500	SSTP_0000268500.1
XLOC_000121	TCONS_00000112	TCONS_00000112.p1	SSTP_0000268900	SSTP_0000268900.1
XLOC_000121	TCONS_00003679	TCONS_00003679.p1	SSTP_0000268900	SSTP_0000268900.1
XLOC_000122	TCONS_00000113	TCONS_00000113.p1	SSTP_0000269400	SSTP_0000269400.1
XLOC_000123	TCONS_00000114	TCONS_00000114.p1	SSTP_0000269500	SSTP_0000269500.1
XLOC_000124	TCONS_00000115	TCONS_00000115.p1	SSTP_0000862100	SSTP_0000862100.1
XLOC_000125	TCONS_00000116	TCONS_00000116.p1	SSTP_0000269800	SSTP_0000269800.1
XLOC_000125	TCONS_00003680	TCONS_00003680.p1	SSTP_0000269800	SSTP_0000269800.1
XLOC_000134	TCONS_00003689	TCONS_00003689.p1	SSTP_0001283800	SSTP_0001283800.1
XLOC_000136	TCONS_00000117	TCONS_00000117.p1	SSTP_0000994800	SSTP_0000994800.1
XLOC_000137	TCONS_00000118	TCONS_00000118.p1	SSTP_0000994600	SSTP_0000994600.1
XLOC_000138	TCONS_00000119	TCONS_00000119.p1	SSTP_0000994300	SSTP_0000994300.1
XLOC_000138	TCONS_00003691	TCONS_00003691.p1	SSTP_0000994400	SSTP_0000994400.1
XLOC_000138	TCONS_00003692	TCONS_00003692.p1	SSTP_0000994300	SSTP_0000994300.1
XLOC_000139	TCONS_00000120	TCONS_00000120.p1	SSTP_0000994100	SSTP_0000994100.1
XLOC_000140	TCONS_00000121	TCONS_00000121.p1	SSTP_0000994000	SSTP_0000994000.1
XLOC_000140	TCONS_00003693	TCONS_00003693.p1	SSTP_0000994000	SSTP_0000994000.1
XLOC_000141	TCONS_00000122	TCONS_00000122.p1	SSTP_0000993500	SSTP_0000993500.1
XLOC_000142	TCONS_00000123	TCONS_00000123.p1	SSTP_0000993400	SSTP_0000993400.1
XLOC_000143	TCONS_00000124	TCONS_00000124.p1	SSTP_0000992900	SSTP_0000992900.1
XLOC_000144	TCONS_00000125	TCONS_00000125.p1	SSTP_0000992800	SSTP_0000992800.1
XLOC_000144	TCONS_00003694	TCONS_00003694.p1	SSTP_0000992800	SSTP_0000992800.1
XLOC_000145	TCONS_00000126	TCONS_00000126.p1	SSTP_0000992100	SSTP_0000992100.1
XLOC_000146	TCONS_00000127	TCONS_00000127.p1	SSTP_0000991900	SSTP_0000991900.1
XLOC_000146	TCONS_00003695	TCONS_00003695.p1	SSTP_0000991900	SSTP_0000991900.1
XLOC_000147	TCONS_00000128	TCONS_00000128.p1	SSTP_0000991700	SSTP_0000991700.1
XLOC_000147	TCONS_00000129	TCONS_00000129.p1	SSTP_0000991600	SSTP_0000991600.1
XLOC_000147	TCONS_00003696	TCONS_00003696.p1	SSTP_0000991600	SSTP_0000991600.1
XLOC_000148	TCONS_00000130	TCONS_00000130.p1	SSTP_0000991000	SSTP_0000991000.1
XLOC_000148	TCONS_00003697	TCONS_00003697.p1	SSTP_0000991100	SSTP_0000991100.1
XLOC_000149	TCONS_00000131	TCONS_00000131.p1	SSTP_0000990300	SSTP_0000990300.1
XLOC_000149	TCONS_00003698	TCONS_00003698.p1	SSTP_0000990400	SSTP_0000990400.1
XLOC_000149	TCONS_00003699	TCONS_00003699.p1	SSTP_0000990300	SSTP_0000990300.1
XLOC_000150	TCONS_00000132	TCONS_00000132.p1	SSTP_0000990000	SSTP_0000990000.1
XLOC_000150	TCONS_00003700	TCONS_00003700.p1	SSTP_0000990000	SSTP_0000990000.1
XLOC_000151	TCONS_00000133	TCONS_00000133.p1	SSTP_0000989800	SSTP_0000989800.1
XLOC_000151	TCONS_00003701	TCONS_00003701.p1	SSTP_0000989800	SSTP_0000989800.1
XLOC_000154	TCONS_00000134	TCONS_00000134.p1	SSTP_0000989700	SSTP_0000989700.1
XLOC_000156	TCONS_00000135	TCONS_00000135.p1	SSTP_0000989400	SSTP_0000989400.1
XLOC_000156	TCONS_00000136	TCONS_00000136.p1	SSTP_0000989400	SSTP_0000989400.1
XLOC_000156	TCONS_00000137	TCONS_00000137.p1	SSTP_0000989300	SSTP_0000989300.1
XLOC_000156	TCONS_00003705	TCONS_00003705.p1	SSTP_0000989400	SSTP_0000989400.1
XLOC_000157	TCONS_00000138	TCONS_00000138.p1	SSTP_0000989100	SSTP_0000989100.1
XLOC_000158	TCONS_00000139	TCONS_00000139.p1	SSTP_0000989000	SSTP_0000989000.1
XLOC_000160	TCONS_00000141	TCONS_00000141.p1	SSTP_0000988600	SSTP_0000988600.1
XLOC_000161	TCONS_00003706	TCONS_00003706.p1		
XLOC_000162	TCONS_00000142	TCONS_00000142.p1	SSTP_0000988400	SSTP_0000988400.1
XLOC_000162	TCONS_00000143	TCONS_00000143.p1	SSTP_0000988300	SSTP_0000988300.1
XLOC_000162	TCONS_00003707	TCONS_00003707.p1	SSTP_0000988400	SSTP_0000988400.1
XLOC_000163	TCONS_00000144	TCONS_00000144.p1	SSTP_0000987900	SSTP_0000987900.1
XLOC_000163	TCONS_00003708	TCONS_00003708.p1	SSTP_0000987900	SSTP_0000987900.1
XLOC_000164	TCONS_00003709	TCONS_00003709.p1	SSTP_0000633200	SSTP_0000633200.1
XLOC_000165	TCONS_00003710	TCONS_00003710.p1	SSTP_0000861425	SSTP_0000861425.1
XLOC_000170	TCONS_00003715	TCONS_00003715.p1	SSTP_0001283800	SSTP_0001283800.1
XLOC_000171	TCONS_00000145	TCONS_00000145.p1	SSTP_0000812500	SSTP_0000812500.1
XLOC_000171	TCONS_00000146	TCONS_00000146.p1	SSTP_0000812600	SSTP_0000812600.1
XLOC_000171	TCONS_00003716	TCONS_00003716.p1	SSTP_0000812600	SSTP_0000812600.1
XLOC_000172	TCONS_00000147	TCONS_00000147.p1	SSTP_0000812700	SSTP_0000812700.1
XLOC_000173	TCONS_00000148	TCONS_00000148.p1	SSTP_0000812800	SSTP_0000812800.1
XLOC_000175	TCONS_00000149	TCONS_00000149.p1	SSTP_0000813200	SSTP_0000813200.1
XLOC_000176	TCONS_00000150	TCONS_00000150.p1	SSTP_0000813400	SSTP_0000813400.1
XLOC_000176	TCONS_00000151	TCONS_00000151.p1	SSTP_0000813500	SSTP_0000813500.1
XLOC_000176	TCONS_00000152	TCONS_00000152.p1	SSTP_0000813600	SSTP_0000813600.1
XLOC_000176	TCONS_00003718	TCONS_00003718.p1	SSTP_0000813400	SSTP_0000813400.1
XLOC_000177	TCONS_00000153	TCONS_00000153.p1	SSTP_0000813800	SSTP_0000813800.1
XLOC_000178	TCONS_00000154	TCONS_00000154.p1	SSTP_0000814100	SSTP_0000814100.1
XLOC_000179	TCONS_00000155	TCONS_00000155.p1	SSTP_0000814300	SSTP_0000814300.1
XLOC_000180	TCONS_00000156	TCONS_00000156.p1	SSTP_0000814400	SSTP_0000814400.1
XLOC_000181	TCONS_00003719	TCONS_00003719.p1	SSTP_0001235100	SSTP_0001235100.1
XLOC_000182	TCONS_00000157	TCONS_00000157.p1	SSTP_0000814600	SSTP_0000814600.1
XLOC_000182	TCONS_00000158	TCONS_00000158.p1	SSTP_0000814700	SSTP_0000814700.1
XLOC_000182	TCONS_00003721	TCONS_00003721.p1	SSTP_0000814700	SSTP_0000814700.1
XLOC_000183	TCONS_00000159	TCONS_00000159.p1	SSTP_0000814900	SSTP_0000814900.1
XLOC_000184	TCONS_00000160	TCONS_00000160.p1	SSTP_0000815000	SSTP_0000815000.1
XLOC_000184	TCONS_00003722	TCONS_00003722.p1	SSTP_0000815000	SSTP_0000815000.1
XLOC_000185	TCONS_00000161	TCONS_00000161.p1	SSTP_0000815100	SSTP_0000815100.1
XLOC_000186	TCONS_00000162	TCONS_00000162.p1	SSTP_0000815400	SSTP_0000815400.1
XLOC_000186	TCONS_00003723	TCONS_00003723.p1	SSTP_0000815400	SSTP_0000815400.1
XLOC_000187	TCONS_00000163	TCONS_00000163.p1	SSTP_0000815500	SSTP_0000815500.1
XLOC_000188	TCONS_00003724	TCONS_00003724.p1	SSTP_0000815900	SSTP_0000815900.1
XLOC_000189	TCONS_00000164	TCONS_00000164.p1	SSTP_0000816000	SSTP_0000816000.1
XLOC_000190	TCONS_00000165	TCONS_00000165.p1	SSTP_0000816200	SSTP_0000816200.1
XLOC_000190	TCONS_00003725	TCONS_00003725.p1	SSTP_0000816100	SSTP_0000816100.1
XLOC_000190	TCONS_00003726	TCONS_00003726.p1	SSTP_0000816200	SSTP_0000816200.1
XLOC_000191	TCONS_00000166	TCONS_00000166.p1	SSTP_0000816600	SSTP_0000816600.1
XLOC_000193	TCONS_00000168	TCONS_00000168.p1	SSTP_0000816900	SSTP_0000816900.1
XLOC_000194	TCONS_00000169	TCONS_00000169.p1	SSTP_0000817000	SSTP_0000817000.1
XLOC_000195	TCONS_00000170	TCONS_00000170.p1	SSTP_0000817300	SSTP_0000817300.1
XLOC_000196	TCONS_00000171	TCONS_00000171.p1	SSTP_0000817700	SSTP_0000817700.1
XLOC_000196	TCONS_00003727	TCONS_00003727.p1	SSTP_0000817700	SSTP_0000817700.1
XLOC_000197	TCONS_00000172	TCONS_00000172.p1	SSTP_0000817800	SSTP_0000817800.1
XLOC_000197	TCONS_00003728	TCONS_00003728.p1	SSTP_0000817800	SSTP_0000817800.1
